time,a,b,c,d
3288387116,22658,5778,19669,5779
3288449616,22474,5782,19657,5777
3288512116,22103,5780,19575,5777
3288574616,21951,5780,19504,5779
3288637117,21521,5777,19476,5774
3288699616,21570,5780,19484,5778
3288762116,21250,5780,19344,5775
3288824617,21129,5780,19235,5774
3288887116,20945,5778,19220,5777
3288949617,20822,5779,19153,5778
3289012118,20711,5778,19225,5779
3289074619,20495,5777,19253,5778
3289137118,20372,5779,19237,5778
3289199618,20162,5779,19160,5778
3289262119,20032,5780,19112,5778
3289324619,19892,5779,19122,5778
3289387118,29283,29198,24674,29192
3289449618,29287,29190,25989,29187
3289512119,277,5831,6084,5845
3289574619,275,5756,12792,5780
3289637119,29258,29349,29249,29249
3289699619,29290,29187,18298,5863
3289762120,275,5826,2167,5754
3289824621,275,5766,22569,22983
3289887122,29249,29249,29269,29284
3289949622,29274,6478,7979,5850
3290012122,275,5751,6846,5770
3290074623,11917,26194,29236,29269
3290137123,29269,29265,28320,29178
3290199623,1376,5836,2927,5844
3290262124,276,5760,13933,5779
3290324624,29239,29249,29269,29209
3290387125,29276,29181,20106,29062
3290449624,276,5832,2636,5849
3290512125,275,5762,21995,5797
3290574626,29269,29229,29269,29319
3290637126,29276,29016,10070,5855
3290699627,274,5834,6470,5763
3290762127,1681,6644,29193,29329
3290824627,29249,29339,29236,29192
3290887128,17841,5843,4385,5843
3290949628,274,5754,12760,5778
3291012128,29239,29269,29269,29229
3291074628,29288,29190,23242,29184
3291137129,274,5837,2881,5846
3291199629,273,5763,20229,5792
3291262128,29249,29249,29249,29249
3291324628,29284,29189,13899,5859
3291387128,275,5829,5507,5760
3291449629,274,5766,27560,29283
3291512129,29249,29249,29274,29205
3291574630,29039,5874,6304,5848
3291637130,272,5755,10929,5773
3291699631,24661,29309,29249,29229
3291762131,29269,29208,26464,29186
3291824632,290,5836,3361,5845
3291887133,272,5763,17923,5792
3291949633,29269,29249,29269,29249
3292012133,29291,29191,17611,20207
3292074633,272,5832,4608,5758
3292137134,271,5767,25409,20511
3292199634,29269,29249,29269,29329
3292262134,29290,19455,8399,5854
3292324634,272,5750,9161,5771
3292387135,8466,21425,29229,29229
3292449635,29269,29326,28816,29193
3292512135,8457,5837,4142,5845
3292574634,271,5758,15683,5784
3292637134,29249,29229,29269,29209
3292699635,29279,29180,20957,29184
3292762136,273,5836,3967,5853
3292824636,272,5761,22959,5791
3292887135,29269,29249,29269,29279
3292949636,29283,29185,11330,5857
3293012136,272,5830,7276,5763
3293074636,606,5785,29131,29289
3293137137,29269,29289,29278,29189
3293199637,25987,5858,5302,5846
3293262136,270,5759,12974,5785
3293324637,29233,29309,29249,29229
3293387138,29287,29188,19671,21057
3293449638,10890,5862,17315,5779
3293512137,28855,25579,25009,7577
3293574638,26508,5882,21993,5801
3293637138,28524,7693,21706,9396
3293699639,28544,6232,21281,5998
3293762139,28167,5892,20920,5886
3293824639,27601,5792,20722,5789
3293887140,26882,5786,20554,5773
3293949641,26209,5787,20339,5774
3294012141,25470,5780,20188,5782
3294074642,24890,5784,20054,5777
3294137143,24265,5784,19905,5777
3294199643,23611,5783,19812,5779
3294262144,23287,5781,19775,5779
3294324644,22791,5781,19637,5781
3294387145,22331,5779,19538,5778
3294449646,21902,5782,19480,5773
3294512146,21585,5780,19432,5779
3294574647,21492,5779,19434,5778
3294637148,21131,5779,19313,5778
3294699648,21061,5779,19196,5778
3294762148,20827,5779,19201,5780
3294824649,20484,5783,19162,5781
3294887150,20293,5785,19168,5780
3294949651,20150,5780,19189,5780
3295012150,20045,5782,19143,5778
3295074651,19952,5779,19154,5778
3295137150,19873,5778,19034,5778
3295199650,19828,5775,19046,5777
3295262150,19627,5779,19004,5778
3295324650,16804,5764,17491,5771
3295387150,278,5747,18115,16211
3295449650,29250,29289,29186,29226
3295512151,26464,5862,11917,5852
3295574651,276,5749,6402,5764
3295637152,21847,29195,29181,29329
3295699652,29249,29210,27388,29179
3295762152,279,5835,2696,5843
3295824651,275,5752,14167,5782
3295887152,29239,29249,29269,29209
3295949652,29276,29179,18234,13770
3296012152,276,5829,2389,5754
3296074653,274,5766,22637,19080
3296137153,29249,29249,29269,29313
3296199654,29284,13837,8427,5851
3296262154,274,5746,6741,5768
3296324655,8266,21043,29239,29289
3296387156,29269,29304,28758,29181
3296449656,4526,5834,3324,5846
3296512156,275,5756,13644,5781
3296574656,29239,29249,29269,29209
3296637156,29278,29180,20980,29175
3296699656,276,5837,2682,5847
3296762156,275,5763,21517,5792
3296824657,29269,29209,29269,29289
3296887157,29277,29175,10939,5855
3296949657,276,5830,6166,5769
3297012158,629,5785,28991,29309
3297074657,29269,29299,29265,29181
3297137158,23566,5852,4740,5846
3297199658,275,5757,12322,5783
3297262158,29232,29309,29269,29229
3297324658,29276,29180,23404,29177
3297387157,284,5838,9232,5861
3297449658,385,5767,23632,5789
3297512158,13667,5778,21736,5777
3297574658,18644,5785,21116,5779
3297637159,24397,5791,21241,5779
3297699659,25588,5788,20912,5783
3297762160,26289,5794,20677,5778
3297824661,26449,5791,20506,5777
3297887161,25977,5791,20427,5778
3297949662,25416,5788,20276,5781
3298012162,25161,5784,20107,5778
3298074662,24579,5782,19984,5777
3298137163,24047,5783,19842,5777
3298199664,23838,5781,19725,5778
3298262164,23403,5781,19713,5778
3298324664,23010,5779,19726,5777
3298387164,22708,5778,19707,5778
3298449665,22412,5781,19648,5778
3298512166,21927,5780,19605,5774
3298574666,21773,5781,19495,5778
3298637166,21640,5779,19408,5774
3298699666,21442,5781,19336,5772
3298762167,21169,5779,19266,5777
3298824667,20806,5779,19226,5783
3298887168,20747,5780,19130,5778
3298949668,20672,5780,19106,5775
3299012167,20662,5779,19091,5779
3299074668,20411,5781,19100,5776
3299137168,20344,5775,19029,5775
3299199668,20019,5775,19103,5777
