=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.02 17:40:07 =~=~=~=~=~=~=~=~=~=~=~=
= RX Location: 3 inches away from the center of the TX (along the Z)
= Tone Frequency: 6Hz
= Baud Rate: 1 S/s
= Bit Rate: 0.5 b/s
= Sampling Frequency: 16Hz
= Encoding: Differential Manchester
=     0: Two state Changes
=     1: One State Change
=     The Two States are TONE and NO_TONE
= Columns(7):
=     sample_num: Chronological Index of Samples
=     x: Reading From the sensor on the X axis
=     y: Reading From the sensor on the Y axis
=     bit_num: Chronological Index of the Bits Sent
=     bit: The Bit Sent, 1 or 0
=     sym_num: Chronological Index of the Symbol
=     sym: The Actual Symbol, TONE(1) or NO_TONE(0)
=~=~=~=~=~=~=~=~=~=~=~==~=~=~=~=~=~=~=~=~=~=~==~=~=~=~=~=~=~=~=~=~=~==~=~=~=~
sample_num,x,y,bit_num,bit,sym_num,sym
416,-147,47,6,0,13,1
417,-145,48,6,0,13,1
418,-149,49,6,0,13,1
419,-46,38,6,0,13,1
420,-45,40,6,0,13,1
421,-140,44,6,0,13,1
422,-145,49,6,0,13,1
423,-146,46,6,0,13,1
424,-49,38,6,0,13,1
425,-47,38,6,0,13,1
426,-46,39,6,0,13,1
427,-146,47,6,0,13,1
428,-147,43,6,0,13,1
429,-51,38,6,0,13,1
430,-48,42,6,0,13,1
431,-53,41,6,0,13,1
432,-144,45,6,0,13,1
433,-145,52,6,0,13,1
434,-143,47,6,0,13,1
435,-48,37,6,0,13,1
436,-51,39,6,0,13,1
437,-47,38,6,0,13,1
438,-147,48,6,0,13,1
439,-147,46,6,0,13,1
440,-42,34,6,0,13,1
441,-43,38,6,0,13,1
442,-47,40,6,0,13,1
443,-143,53,6,0,13,1
444,-146,48,6,0,13,1
445,-140,49,6,0,13,1
446,-38,33,6,0,13,1
447,-40,39,6,0,13,1
448,-40,38,7,0,14,0
449,-40,38,7,0,14,0
450,-40,35,7,0,14,0
451,-34,38,7,0,14,0
452,-35,41,7,0,14,0
453,-40,43,7,0,14,0
454,-39,38,7,0,14,0
455,-44,39,7,0,14,0
456,-37,40,7,0,14,0
457,-38,38,7,0,14,0
458,-37,40,7,0,14,0
459,-37,39,7,0,14,0
460,-38,41,7,0,14,0
